# Vocabulario — 14390 palabras únicas

PALABRA                        FRECUENCIA
celular                                 2
celulitis                               1
cementerio                              2
cemento                                 1
cena                                    6
cenado                                  1
cenar                                   1
cenas                                   1
cenicero                                1
ceniza                                  1
cenizas                                 4
censura                                 1
censuradores                            1
censuren                                1
centauro                                8
centellearon                            1
centenas                                1
center                                  2
centinelas                              2
central                                 9
centrales                               1
centraron                               1
centrifugado                            1
centro                                 15
centros                                 1
centró                                  1
centímetro                              1
cepillaba                               2
cerati                                  1
cerbero                                 3
cerca                                  35
cercaban                                1
cercana                                 2
cercano                                 3
cercanos                                2
cercanía                                4
cercenadas                              1
cercenado                               1
cercenaría                              1
cercenó                                 1
cerciorarnos                            1
cercioró                                1
cerco                                   4
cerdo                                   2
cerebro                                 5
cerebros                                1
ceremonia                              14
ceremoniales                            1
ceremonias                              2
cero                                    4
cerraba                                 4
cerrada                                 4
cerradas                                1
cerrado                                 4
cerrados                                2
cerrando                                2
cerrar                                 10
cerraron                                2
cerro                                   5
cerros                                  2
cerrándose                              1
cerré                                   1
cerró                                   6
certero                                 1
certeza                                11
certezas                                3
certidumbre                             1
cerveza                                 4
cesado                                  2
cesaron                                 1
cesión                                  1
cesó                                    1
ceño                                    1
champoo                                 1
champán                                 1
champú                                  1
chamuscada                              1
chamuscadas                             1
chance                                  1
chances                                 1
chapadmalal                             1
chaqueta                                5
charco                                  5
charcos                                 2
charla                                  1
charlando                               1
charlar                                 1
charlas                                 1
charleskuei                             1
charrúas                                1
chasquido                               1
chasquidos                              1
chauvinistas                            1
chavez                                  1
chavista                                1
che                                     2
checklist                               1
chef                                    3
chepe                                  28
chic                                    2
chicagobart                             1
chicas                                  6
chico                                   7
chicos                                  3
chile                                   3
chileno                                 2
chillaba                                1
chillaban                               1
chillido                                1
chilló                                  1
china                                   4
chino                                   1
chinos                                  1
chispa                                  1
chiste                                  7
chistes                                 1
choca                                   1
chocolate                               4
chocó                                   1
chofer                                  2
choques                                 1
chorro                                  1
chrome                                  1
chulos                                  1
chumy                                   3
chupa                                   2
chupe                                   1
chupeta                                 1
chusmeó                                 1
cicatrices                              1
cicatriz                                1
ciclo                                   7
ciclos                                  2
ciclíco                                 1
cicuta                                  1
ciega                                   3
ciego                                   5
cielo                                  33
cien                                    6
ciencia                                 5
cienmetros                              1
cientas                                 1
cientifico                              2
cientos                                 6
científica                              1
científico                              1
cierra                                  7
cierran                                 1
cierre                                  1
cierro                                  3
cierta                                  4
ciertamente                             2
ciertas                                 4
cierto                                 13
ciertos                                 1
cifra                                   5
cifras                                  4
cigarrillo                             17
cigarrillos                             6
cigarrito                               1
cigarro                                 2
cigrarrito                              1
cigüeñas                                2
cima                                    2
cimentado                               1
cimientos                               1
cincel                                  1
cinco                                   9
cincuenta                               2
cine                                    1
cinematicthougths                       1
cinta                                   1
cintas                                  1
cintura                                 1
cinturón                                2
circo                                   3
circuito                                2
circuitos                               1
circular                                1
circularon                              1
circulitos                              1
circundantes                            1
circunstancia                           2
circunstancias                          2
cirilo                                  2
cita                                    2
citaba                                  1
citadinos                               1
citado                                  1
citar                                   4
citaron                                 1
citas                                   3
ciudad                                 42
ciudadano                               3
ciudadanos                              5
ciudadanía                              2
ciudades                                4
civil                                   3
civiles                                 3
civilización                            2
civilizado                              1
clan                                   16
clandestinas                            1
clanes                                  3
clara                                   5
claramente                             14
claridad                                3
clarificadores                          1
claro                                  19
claros                                  3
clase                                  10
clases                                  4
clasificar                              1
clausewitz                              7
clausewtiz                              1
claustrofóbica                          2
clausura                                1
clavara                                 1
clavaron                                1
clave                                   2
clavijo                                 2
clavándose                              1
clickflashphotos                        1
clics                                   1
clientela                               1
clientes                                1
clima                                   4
clode                                   1
club                                    2
clásica                                 1
clímaco                                 5
clímax                                  3
coagularse                              1
coartada                                1
coartadas                               1
cobarde                                 4
cobardía                                3
cobertura                               1
cobra                                   2
cobrado                                 1
cobrar                                  1
cobre                                   1
cobrizas                                1
cobrizo                                 1
cobro                                   1
coca                                    5
cocalera                                1
cocaína                                 6
cocción                                 2
cochambamba                             1
coche                                   1
cocido                                  1
cocina                                 10
cocinando                               1
cocine                                  1
cocktails                               1
cocía                                   1
coda                                    1
codearse                                1
codificadas                             1
codifican                               1
codificará                              1
codo                                    1
coeficiente                             1
coelho                                  5
cofrade                                 1
cofrades                                1
cofradía                                6
cognitivo                               1
cognitivos                              1
cogía                                   1
coherencia                              1
cohesión                                1
coincidencia                            4
coincido                                1
cojas                                   1
cola                                    1
colaba                                  1
colaboracionistas                       2
colaboradores                           1
colara                                  1
colateral                               1
colchas                                 1
colecciones                             4
colección                               4
colectivo                               3
colegas                                 3
colegial                                1
colegio                                10
colgaba                                 1
colgaban                                1
colgando                                1
colgar                                  2
colgó                                   1
colibrí                                 3
colibríes                              13
colilla                                 1
colina                                  3
colocadas                               1
colocaría                               2
colombia                               20
colombiana                              1
colombianidad                           1
colombiano                              7
colombianos                             2
colombo                                15
colonia                                 2
colonialismo                            1
colonialistas                           1
colonizado                              1
colonos                                 1
coloquial                               1
color                                  10
colorantes                              1
colorear                                1
colores                                19
colorida                                1
colorido                                3
colosalmente                            1
colosio                                 1
columna                                 5
columnas                                5
com                                    19
coma                                   10
comandancia                             2
comandante                              7
comando                                13
comas                                   1
combate                                 3
combatiente                             1
combatir                                1
combina                                 1
combinaciones                           1
combinación                             2
combustible                             4
combustión                              1
come                                    1
comedia                                 1
comedor                                 2
comedores                               1
comen                                   3
comensales                              3
comentario                              3
comentarios                             3
comentarme                              1
comentó                                 1
comenzar                                1
comenzó                                 1
comer                                  13
comerciales                             2
comerciantes                            1
comercios                               1
comernos                                1
comerse                                 1
cometa                                  4
cometas                                 1
cometer                                 2
cometido                                7
cometieron                              1
comida                                  6
comiendo                                3
comienza                                2
comienzo                                6
comimos                                 1
comino                                  2
comisura                                1
comisuras                               2
comitiva                                1
comió                                   2
comodidad                               5
comparte                                1
comparten                               3
compartido                              1
compartiendo                            1
compartimos                             1
compartir                               3
compartirle                             1
compartirlo                             1
compartiríamos                          1
comparto                                1
compasivo                               1
compasión                               5
compañeros                              4
compañía                                8
compendio                               3
competencias                            1
competir                                2
competía                                1
compinche                               1
compinches                              1
complaciente                            2
compleja                                6
complejas                               1
complejidad                             1
complejo                                3
complemento                             1
completa                                4
completamente                           1
completando                             1
completar                               1
completo                                8
completos                               1
completó                                1
complica                                2
complicación                            4
complicada                              2
complicado                              4
complicados                             2
complican                               1
complicar                               1
complicara                              1
complicaría                             1
compone                                 2
componen                                5
componentes                             3
comporta                                1
comportamiento                          3
comportan                               1
composición                             2
compostura                              2
compra                                  1
comprado                                1
compramos                               1
comprar                                 9
comprarse                               1
compras                                 3
comprenda                               3
comprende                               3
comprenden                              1
comprender                             13
comprenderlo                            3
comprendería                            1
comprenderían                           1
comprendiera                            3
comprendió                              2
comprendo                               1
comprendí                               3
comprendía                              2
comprendían                             1
comprimido                              1
comprimió                               1
comprimía                               1
comprometernos                          1
comprometidos                           1
compré                                  2
compró                                  2
compu                                   2
compuesta                               1
compuesto                               2
compulsivo                              2
compungido                              1
computadora                             2
computadoras                            1
computadores                            1
compás                                  4
comulga                                 1
comunes                                 3
comunica                                2
comunicacional                          1
comunicaciones                          1
comunicación                            9
comunicadores                           1
comunicados                             1
comunicando                             1
comunicar                               1
comunicarme                             2
comunicarse                             1
comunidad                               3
comunismo                               2
comunista                               3
comunistas                              1
comunión                                3
comí                                    1
comía                                   5
común                                  18
comúnmente                              1
concebida                               1
concebido                               3
concebidos                              1
concebimos                              1
concebir                                2
concebirlo                              1
concebía                                1
concentra                               2
concentración                           5
concentrada                             1
concentrado                             3
concentrarme                            3
concentrarse                            4
concepto                                5
conceptos                               9
conceptual                              2
conceptuales                            1
conceptualiza                           1
conceptualización                       1
conceptualizar                          2
concernir                               1
concernía                               1
concesiones                             1
concesión                               1
conciencia                              5
concierto                               1
conciso                                 2
concluida                               1
concluido                               3
concluir                                1
conclusiones                            1
conclusión                              5
concluyera                              1
concluyo                                1
concluyó                                6
concluí                                 2
concreta                                1
concurrencia                            1
concurso                                4
concéntrese                             2
condena                                 1
condenada                               2
condenado                               3
condenan                                1
condensa                                1
condensarse                             1
condescendientes                        1
condicionada                            1
condicionante                           1
condiciones                             2
condición                               5
condimentado                            1
condimentando                           1
conducción                              1
conducida                               1
conduciendo                             1
conductor                               2
conductores                             1
conducía                                2
conecta                                 3
conectadas                              1
conectan                                1
conectando                              1
conectaremos                            1
conectó                                 1
conejo                                  1
conexiones                              1
conexión                                1
confeccionado                           1
confederación                           6
confederada                             2
confederado                             3
confesar                                3
confesaron                              1
confesaría                              1
confesión                               1
confiable                               1
confiar                                 2
confieso                                1
configura                               1
configuración                           2
confirma                                1
confirmaba                              1
confirmación                            2
confirman                               1
confirmando                             1
confirmó                                2
confié                                  1
conflicto                               2
conflictos                              1
conformaba                              1
conforme                                1
confrontamos                            1
confunda                                1
confundida                              2
confundido                              5
confundir                               1
confundían                              1
confusa                                 1
confusión                               6
congelado                               1
congestionadas                          1
congestionaron                          1
congregadas                             1
conjugación                             1
conjunto                               11
conjuntos                               3
conmigo                                16
conmovedor                              1
conmovido                               2
conmovió                                2
conmueven                               1
cono                                    1
conoce                                  6
conocedores                             1
conocemos                               3
conocen                                 1
conocer                                 6
conocerme                               1
conocerá                                1
conocerán                               1
conocida                                5
conocidas                               2
conocido                                4
conocidos                               2
conocieron                              1
conocimiento                            7
conocimientos                           2
conocimos                               1
conocés                                 1
conocí                                  2
conocía                                11
conocíamos                              2
conocían                                2
conozco                                 3
conquista                               1
conquistar                              2
conquistarla                            1
consciencia                             3
consciente                             13
conscientes                             1
consecuencia                            1
consecuencias                           3
consecuente                             2
consecusión                             1
conseguir                               4
conseguí                                2
consejera                               1
consejo                                 2
consejos                                1
consentir                               1
conservaba                              1
conservaban                             1
conservado                              1
conservadora                            1
conservar                               3
conservarlo                             1
conservas                               1
conservo                                1
considera                               8
consideraba                             3
consideraban                            4
considerablemente                       1
considerada                             1
considerado                             2
consideran                              4
considerando                            3
considerar                              7
consideraran                            1
considerarla                            1
considerarlo                            2
consideras                              1
considero                              11
consideré                               1
consideró                               1
consienta                               1
consigo                                 4
consiguen                               1
consiguiendo                            2
consiste                                1
consolarse                              1
consolida                               2
consolidación                           1
consolidada                             1
conspiraciones                          1
conspiración                            1
constancia                              1
constante                              11
constantemente                          4
constantino                             1
constelación                            1
constitución                            1
constituye                              1
constituía                              1
constituían                             1
constreñido                             1
construcciones                          1
construcción                            8
constructiva                            1
construido                              1
construimos                             1
construir                               1
construirle                             1
construyendo                            2
construyéndolo                          1
construí                                1
consuelo                                3
consultando                             1
consultaron                             2
consulté                                3
consultó                                1
consuma                                 1
consumado                               1
consume                                 2
consumen                                1
consumido                               1
consumidor                              1
consumidos                              1
consumiera                              1
consumir                                5
consumista                              1
consumió                                1
consumo                                 5
consumía                                1
contaba                                 5
contaban                                1
contabas                                1
contables                               1
contactarlo                             1
contacto                                5
contactó                                1
contagié                                1
contagió                                1
contando                                2
contar                                  5
contarle                                2
contarnos                               1
contaron                                1
contarte                                2
contaré                                 1
contaría                                1
contaste                                1
contempla                               1
contemplan                              2
contemplando                            3
contemplar                              1
contempló                               1
contemporáneo                           1
contendientes                           2
contenedor                              1
contener                                5
contenible                              1
contenida                               3
contenidas                              1
contenido                               8
contenidos                              1
conteniendo                             1
content                                 1
contento                                2
contentos                               1
contenté                                1
contenía                                1
contesta                                3
contestó                                3
contexto                               16
contextos                               4
contextual                              1
contienda                               1
contiene                                2
contienen                               1
continental                             1
continente                              1
continentes                             2
contingente                             2
continuaba                              1
continuación                            1
continuar                               2
continuó                               11
contraargumentar                        1
contrabandeados                         1
contrabando                             1
contracciones                           1
contradicciones                         3
contradicción                           2
contradicen                             1
contradictores                          1
contradictoria                          2
contradictorios                         2
contradigo                              1
contraiga                               1
contraoferta                            2
contraofertó                            1
contrapartida                           1
contrapunteos                           1
contraria                               1
contrariado                             1
contrariar                              1
contrarias                              1
contrario                              27
contrarrestar                           1
contrastaba                             1
contraste                               3
contratación                            1
contratado                              1
contrataran                             1
contratarme                             1
contratiempo                            1
contratistas                            1
contravenciones                         1
contravía                               1
contraídos                              1
contribución                            2
contribuyentes                          2
contricantes                            1
contrición                              2
control                                12
controla                                2
controlada                              1
controlando                             1
controlar                               4
controlarla                             1
controlarme                             1
controversia                            1
contundente                             4
contuvieron                             1
contuvo                                 3
contárselo                              1
contás                                  1
conté                                   2
contó                                   3
convaleciente                           1
convence                                1
convencemos                             1
convencerlo                             2
convencerse                             1
convencida                              1
convencido                              7
convenciendo                            1
convenció                               1
convengamos                             2
conveniencia                            1
conveniente                             1
convenir                                1
conventillo                             3
conversaciones                         10
conversación                           10
convertido                              6
convertir                               1
convertirse                             3
convertirá                              1
convertiría                             1
convexa                                 1
convexo                                 1
convicción                              4
convidó                                 1
conviene                                1
convierte                               5
convierten                              3
convirtiendo                            1
convirtieron                            1
convirtió                               8
conviva                                 1
convive                                 1
convivencia                             1
convivir                                3
convivían                               1
convoca                                 3
convocaba                               1
convocado                               1
convoco                                 1
convulsa                                1
convulsionado                           3
coordenadas                             1
coordinación                            1
copa                                    5
copartidario                            1
copas                                   4
copia                                   1
copiar                                  1
copié                                   1
coppola                                 2
coqueteaba                              1
coquetear                               1
coquetearme                             1
coqueteo                                1
coraje                                  2
coral                                   1
corazones                               4
corazón                                32
corbata                                 1
corbatas                                1
corcel                                  2
cordales                                1
cordialmente                            1
cordones                                3
cordón                                  4
corea                                   2
coreana                                 1
coreografía                             1
corneas                                 1
cornisa                                 1
corola                                  1
coronada                                1
coronar                                 1
coronavirus                             1
coronel                                62
coros                                   1
corporales                              1
corporativa                             2
corran                                  1
corre                                   4
correa                                  2
correcta                                3
correctamente                           2
correctas                               1
correcto                                5
correctos                               1
corredor                                4
corregido                               2
corregir                                2
corregirlo                              2
corremos                                1
corren                                  2
correo                                  1
correr                                 11
corresponde                             6
correspondencia                         1
correspondiente                         1
correspondientes                        1
correspondía                            2
correspondían                           1
corretear                               1
corrida                                 1
corriendo                              12
corriente                               8
corrientes                              1
corrijo                                 1
corrimos                                1
corriste                                1
corrió                                  3
corrobora                               1
corroboraba                             1
corroborar                              3
corroboraran                            1
corroborarlas                           1
corroboren                              1
corroboró                               1
corroe                                  1
corrompe                                1
corrompieron                            1
corrugados                              1
corrupción                              3
corrupto                                1
corría                                  2
corrían                                 1
corta                                   5
cortaba                                 1
cortaban                                1
cortada                                 1
cortadas                                2
cortado                                 2
cortan                                  1
cortando                                1
cortar                                  2
cortaran                                1
cortas                                  1
corte                                   2
cortejo                                 1
cortina                                 1
corto                                   6
cortos                                  2
cortázar                                2
corté                                   1
cortó                                   2
coruña                                  2
cosa                                   51
cosas                                  67
cosecha                                 2
cosechas                                1
coservantes                             1
cosito                                  1
cosmopolitan                            1
coso                                    1
cosquillas                              1
costa                                   3
costaba                                 3
costado                                 4
costara                                 2
costaría                                1
costillas                               1
costo                                   1
costosos                                1
costras                                 1
costumbre                               5
costumbres                              3
costuras                                1
costó                                   2
cotidianas                              1
cotidianidad                            7
cotidiano                               1
cotorra                                24
cotorrada                               1
cotorraje                               2
cotorras                                2
cotorril                                1
cotorros                                6
covid                                   1
cowo                                    1
cracia                                  3
crack                                   1
craneal                                 1
crea                                    8
creación                                2
creada                                  1
creado                                  1
creador                                 1
creamos                                 1
crean                                   1
creando                                 4
crear                                  10
creatividad                             2
creativos                               1
crece                                   1
crecer                                  2
crecido                                 2
creciendo                               3
creciente                               2
crecieron                               1
crecimiento                             1
creció                                  4
crecí                                   3
crecía                                  3
crecían                                 1
credo                                   2
cree                                   13
creemos                                 1
creen                                   4
creencia                                2
creencias                               2
creer                                   4
creerles                                1
creerlo                                 1
creerá                                  1
crees                                   1
crema                                   1
cremallera                              1
cremalleras                             1
cremosidad                              1
creo                                   37
cresta                                  1
creyendo                                1
creyentes                               1
creyera                                 1
creyó                                   2
crezca                                  3
creáme                                  2
creía                                   4
creímos                                 1
criados                                 1
criar                                   1
criarse                                 1
criatura                                1
crimen                                  3
criminales                              1
criolla                                 1
crisis                                  6
crisparon                               1
cristal                                 3
cristalería                             1
cristales                               1
cristianismo                            1
cristiano                               1
cristina                                4
cristo                                  6
criterios                               3
critica                                 3
croando                                 1
cruce                                   1
crucen                                  1
crucial                                 1
crucificaron                            1
crucé                                   1
cruda                                   1
crudivegano                             1
crudo                                   4
cruel                                   7
crueles                                 2
crujido                                 1
crujían                                 1
cruza                                   3
cruzaba                                 4
